t,mode,lf_0,lf_1,lf_2,rf_0,rf_1,rf_2,lb_0,lb_1,lb_2,rb_0,rb_1,rb_2,lf_fx,lf_fy,lf_fz,rf_fx,rf_fy,rf_fz,lb_fx,lb_fy,lb_fz,rb_fx,rb_fy,rb_fz
20600.4,1,0.0631224,1.00616,-0.291177,-0.0630753,-0.9658,0.250389,-0.0635099,0.95981,-0.300127,0.0635013,-0.959821,0.300135,0,0,-19.1253,0,0,-18.8402,0,0,-31.1598,0,0,-30.8747
20604.4,1,0.0631116,1.00602,-0.290925,-0.0630618,-0.965623,0.250071,-0.0635564,0.960372,-0.301199,0.0635478,-0.960383,0.301208,0,0,-19.1985,0,0,-18.9104,0,0,-31.0896,0,0,-30.8015
20608.4,1,0.0630988,1.00585,-0.290628,-0.0630462,-0.96542,0.249707,-0.063605,0.960959,-0.302317,0.0635963,-0.96097,0.302325,0,0,-19.1824,0,0,-18.9002,0,0,-31.0998,0,0,-30.8176
20612.4,1,0.0630853,1.00567,-0.29031,-0.0630298,-0.965204,0.24932,-0.0636556,0.961569,-0.303479,0.0636469,-0.96158,0.303488,0,0,-19.244,0,0,-18.9632,0,0,-31.0368,0,0,-30.756
20616.4,1,0.0630729,1.00551,-0.290017,-0.0630144,-0.965001,0.248956,-0.0637083,0.962202,-0.304687,0.0636996,-0.962214,0.304696,0,0,-19.234,0,0,-18.9522,0,0,-31.0478,0,0,-30.766
20620.4,1,0.0630624,1.00537,-0.28977,-0.0630009,-0.964823,0.248637,-0.0637631,0.96286,-0.30594,0.0637524,-0.962847,0.305903,0,0,-19.2215,0,0,-18.9316,0,0,-31.0684,0,0,-30.7785
20624.3,1,0.063054,1.00526,-0.289569,-0.0629894,-0.964671,0.248365,-0.0638179,0.963517,-0.307192,0.0638031,-0.963457,0.307064,0,0,-19.2974,0,0,-18.9761,0,0,-31.0239,0,0,-30.7026
20628.3,1,0.0630474,1.00517,-0.289414,-0.0629799,-0.964545,0.248138,-0.0638707,0.96415,-0.308398,0.063852,-0.964042,0.30818,0,0,-19.3295,0,0,-18.9712,0,0,-31.0288,0,0,-30.6705
20632.3,1,0.0630415,1.00511,-0.289309,-0.0629723,-0.964444,0.247958,-0.0639216,0.964759,-0.309558,0.0638989,-0.964603,0.309249,0,0,-19.3932,0,0,-19.0633,0,0,-30.9367,0,0,-30.6068
20636.3,1,0.0630386,1.00507,-0.289232,-0.0629662,-0.964363,0.247813,-0.0639706,0.965344,-0.310672,0.0639438,-0.96514,0.310272,0,0,-19.39,0,0,-19.134,0,0,-30.866,0,0,-30.61
20640.4,1,0.0630352,1.00503,-0.289153,-0.06296,-0.964282,0.247667,-0.0640177,0.965904,-0.311741,0.0639869,-0.965654,0.31125,0,0,-19.4225,0,0,-19.1365,0,0,-30.8635,0,0,-30.5775
20644.3,1,0.0630298,1.00496,-0.289038,-0.0629523,-0.964181,0.247486,-0.0640629,0.966441,-0.312763,0.064028,-0.966143,0.312181,0,0,-19.5331,0,0,-19.19,0,0,-30.81,0,0,-30.4669
20648.3,1,0.0630251,1.00488,-0.288888,-0.0629448,-0.964081,0.247307,-0.064106,0.966954,-0.313739,0.0640671,-0.966608,0.313067,0,0,-19.5315,0,0,-19.1798,0,0,-30.8202,0,0,-30.4685
20652.3,1,0.0630197,1.00481,-0.288761,-0.0629392,-0.964007,0.247174,-0.0641473,0.967442,-0.31467,0.0641043,-0.967049,0.313907,0,0,-19.5997,0,0,-19.2629,0,0,-30.7371,0,0,-30.4003
20656.3,1,0.0630153,1.00476,-0.288682,-0.0629345,-0.963961,0.24709,-0.0641865,0.967907,-0.315555,0.0641394,-0.967466,0.314702,0,0,-19.5423,0,0,-19.2976,0,0,-30.7024,0,0,-30.4577
20660.3,1,0.0630144,1.00474,-0.288645,-0.0629333,-0.963937,0.247047,-0.0642238,0.968348,-0.316394,0.0641727,-0.967859,0.315451,0,0,-19.5517,0,0,-19.2745,0,0,-30.7255,0,0,-30.4483
20664.3,1,0.0630161,1.00474,-0.288649,-0.0629333,-0.963937,0.247047,-0.0642591,0.968765,-0.317188,0.0642039,-0.968229,0.316154,0,0,-19.677,0,0,-19.3135,0,0,-30.6865,0,0,-30.323
20668.3,1,0.0630185,1.00478,-0.288706,-0.062937,-0.963964,0.247098,-0.0642924,0.969158,-0.317936,0.0642331,-0.968574,0.316812,0,0,-19.6932,0,0,-19.3108,0,0,-30.6892,0,0,-30.3068
20672.3,1,0.0630235,1.00483,-0.288805,-0.0629417,-0.964016,0.247192,-0.0643238,0.969526,-0.318639,0.0642604,-0.968895,0.317424,0,0,-19.7561,0,0,-19.4271,0,0,-30.5729,0,0,-30.2439
