time,leg0_joint0_rad,leg0_joint1_rad,leg0_joint2_rad,leg1_joint0_rad,leg1_joint1_rad,leg1_joint2_rad,leg2_joint0_rad,leg2_joint1_rad,leg2_joint2_rad,leg3_joint0_rad,leg3_joint1_rad,leg3_joint2_rad,
4577.98,0.780216,0.972693,-0.794691,-0.755688,-0.900584,0.718617,-0.837025,1.00713,-0.798398,0.810908,-1.05867,0.782434,
4577.99,0.779406,0.974942,-0.794691,-0.754904,-0.902909,0.718617,-0.836156,1.00934,-0.798398,0.810066,-1.06083,0.782434,
4577.99,0.778582,0.97723,-0.794691,-0.754106,-0.905273,0.718617,-0.835272,1.01159,-0.798398,0.80921,-1.06303,0.782434,
4578,0.777773,0.979479,-0.794691,-0.753322,-0.907596,0.718617,-0.834404,1.01381,-0.798398,0.808369,-1.06519,0.782434,
4578,0.77696,0.981738,-0.794691,-0.752534,-0.90993,0.718617,-0.833531,1.01603,-0.798398,0.807523,-1.06736,0.782434,
4578,0.776138,0.98402,-0.794691,-0.751739,-0.912288,0.718617,-0.83265,1.01828,-0.798398,0.80667,-1.06955,0.782434,
4578.01,0.775329,0.986269,-0.794691,-0.750955,-0.914611,0.718617,-0.831782,1.02049,-0.798398,0.805828,-1.07171,0.782434,
4578.01,0.774515,0.988529,-0.794691,-0.750166,-0.916947,0.718617,-0.830909,1.02271,-0.798398,0.804983,-1.07388,0.782434,
4578.02,0.7737,0.990792,-0.794691,-0.749377,-0.919285,0.718617,-0.830035,1.02494,-0.798398,0.804136,-1.07605,0.782434,
4578.02,0.772887,0.99305,-0.794691,-0.74859,-0.921619,0.718617,-0.829162,1.02716,-0.798398,0.803291,-1.07822,0.782434,
4578.02,0.772079,0.995297,-0.794691,-0.747807,-0.92394,0.718617,-0.828295,1.02937,-0.798398,0.80245,-1.08038,0.782434,
4578.03,0.77126,0.997572,-0.794691,-0.747013,-0.926291,0.718617,-0.827416,1.03161,-0.798398,0.801599,-1.08256,0.782434,
4578.03,0.770449,0.999825,-0.794691,-0.746228,-0.928619,0.718617,-0.826546,1.03383,-0.798398,0.800756,-1.08473,0.782434,
4578.04,0.769632,1.00209,-0.794691,-0.745437,-0.930961,0.718617,-0.825671,1.03606,-0.798398,0.799908,-1.0869,0.782434,
4578.04,0.768815,1.00436,-0.794691,-0.744646,-0.933307,0.718617,-0.824794,1.03829,-0.798398,0.799058,-1.08908,0.782434,
4578.04,0.768007,1.00661,-0.794691,-0.743863,-0.935625,0.718617,-0.823927,1.0405,-0.798398,0.798219,-1.09124,0.782434,
4578.05,0.767193,1.00887,-0.794691,-0.743074,-0.937964,0.718617,-0.823053,1.04273,-0.798398,0.797372,-1.09341,0.782434,
4578.05,0.76637,1.01115,-0.794691,-0.742277,-0.940326,0.718617,-0.82217,1.04498,-0.798398,0.796517,-1.09561,0.782434,
4578.06,0.765563,1.0134,-0.794691,-0.741496,-0.942642,0.718617,-0.821305,1.04718,-0.798398,0.795678,-1.09776,0.782434,
4578.06,0.764741,1.01568,-0.794691,-0.7407,-0.945001,0.718617,-0.820423,1.04943,-0.798398,0.794824,-1.09995,0.782434,
4578.06,0.763927,1.01794,-0.794691,-0.739911,-0.947338,0.718617,-0.819549,1.05166,-0.798398,0.793978,-1.10213,0.782434,
4578.07,0.763117,1.02019,-0.794691,-0.739126,-0.949663,0.718617,-0.81868,1.05387,-0.798398,0.793136,-1.10429,0.782434,
4578.07,0.762296,1.02247,-0.794691,-0.738331,-0.952019,0.718617,-0.8178,1.05612,-0.798398,0.792283,-1.10648,0.782434,
4578.08,0.761478,1.02474,-0.794691,-0.73754,-0.954366,0.718617,-0.816923,1.05835,-0.798398,0.791433,-1.10866,0.782434,
4578.08,0.760669,1.02699,-0.794691,-0.736756,-0.956689,0.718617,-0.816054,1.06056,-0.798398,0.790592,-1.11082,0.782434,
4578.08,0.759853,1.02926,-0.794691,-0.735965,-0.959032,0.718617,-0.815179,1.0628,-0.798398,0.789743,-1.11299,0.782434,
4578.09,0.759037,1.03152,-0.794691,-0.735176,-0.961371,0.718617,-0.814304,1.06502,-0.798398,0.788896,-1.11517,0.782434,
4578.09,0.758225,1.03378,-0.794691,-0.734388,-0.963704,0.718617,-0.813432,1.06725,-0.798398,0.788051,-1.11734,0.782434,
4578.1,0.757418,1.03602,-0.794691,-0.733607,-0.966018,0.718617,-0.812567,1.06945,-0.798398,0.787214,-1.11949,0.782434,
4578.1,0.756603,1.03829,-0.794691,-0.732817,-0.96836,0.718617,-0.811692,1.07168,-0.798398,0.786366,-1.12166,0.782434,
4578.1,0.755782,1.04056,-0.794691,-0.732023,-0.970714,0.718617,-0.810812,1.07392,-0.798398,0.785513,-1.12385,0.782434,
4578.11,0.754972,1.04282,-0.794691,-0.731238,-0.97304,0.718617,-0.809943,1.07614,-0.798398,0.784671,-1.12601,0.782434,
4578.11,0.754158,1.04508,-0.794691,-0.730449,-0.975377,0.718617,-0.809069,1.07836,-0.798398,0.783825,-1.12818,0.782434,
4578.12,0.75334,1.04735,-0.794691,-0.729657,-0.977723,0.718617,-0.808192,1.0806,-0.798398,0.782975,-1.13037,0.782434,
4578.12,0.752524,1.04962,-0.794691,-0.728867,-0.980066,0.718617,-0.807317,1.08283,-0.798398,0.782127,-1.13254,0.782434,
4578.12,0.7517,1.05191,-0.794691,-0.728069,-0.982432,0.718617,-0.806432,1.08508,-0.798398,0.78127,-1.13474,0.782434,
4578.13,0.750895,1.05414,-0.794691,-0.727289,-0.984742,0.718617,-0.805569,1.08728,-0.798398,0.780434,-1.13689,0.782434,
4578.13,0.75008,1.05641,-0.794691,-0.7265,-0.987082,0.718617,-0.804694,1.08951,-0.798398,0.779586,-1.13906,0.782434,
4578.14,0.74926,1.05868,-0.794691,-0.725705,-0.989436,0.718617,-0.803814,1.09175,-0.798398,0.778734,-1.14125,0.782434,
4578.14,0.748458,1.06091,-0.794691,-0.724928,-0.991738,0.718617,-0.802954,1.09395,-0.798398,0.7779,-1.14339,0.782434,
4578.14,0.747638,1.06319,-0.794691,-0.724135,-0.99409,0.718617,-0.802075,1.09619,-0.798398,0.777048,-1.14558,0.782434,
4578.15,0.746827,1.06544,-0.794691,-0.723349,-0.996419,0.718617,-0.801204,1.0984,-0.798398,0.776205,-1.14774,0.782434,
4578.15,0.746014,1.0677,-0.794691,-0.722562,-0.998751,0.718617,-0.800333,1.10062,-0.798398,0.775361,-1.14991,0.782434,
4578.16,0.745202,1.06995,-0.794691,-0.721775,-1.00108,0.718617,-0.799462,1.10284,-0.798398,0.774517,-1.15208,0.782434,
4578.16,0.744377,1.07225,-0.794691,-0.720976,-1.00345,0.718617,-0.798576,1.1051,-0.798398,0.773659,-1.15428,0.782434,
4578.16,0.743572,1.07448,-0.794691,-0.720196,-1.00576,0.718617,-0.797713,1.1073,-0.798398,0.772822,-1.15642,0.782434,
4578.17,0.742752,1.07676,-0.794691,-0.719402,-1.00812,0.718617,-0.796833,1.10954,-0.798398,0.77197,-1.15861,0.782434,
4578.17,0.741936,1.07903,-0.794691,-0.718612,-1.01046,0.718617,-0.795958,1.11177,-0.798398,0.771122,-1.16079,0.782434,
4578.18,0.741129,1.08127,-0.794691,-0.71783,-1.01277,0.718617,-0.795092,1.11398,-0.798398,0.770283,-1.16294,0.782434,
4578.18,0.740315,1.08353,-0.794691,-0.717042,-1.01511,0.718617,-0.794219,1.1162,-0.798398,0.769438,-1.16511,0.782434,
4578.18,0.739502,1.08579,-0.794691,-0.716254,-1.01744,0.718617,-0.793346,1.11843,-0.798398,0.768592,-1.16728,0.782434,
4578.19,0.738688,1.08805,-0.794691,-0.715465,-1.01978,0.718617,-0.792473,1.12065,-0.798398,0.767746,-1.16945,0.782434,
4578.19,0.737867,1.09033,-0.794691,-0.714671,-1.02214,0.718617,-0.791592,1.1229,-0.798398,0.766893,-1.17164,0.782434,
4578.2,0.737049,1.0926,-0.794691,-0.713878,-1.02448,0.718617,-0.790715,1.12513,-0.798398,0.766043,-1.17382,0.782434,
4578.2,0.736245,1.09484,-0.794691,-0.713099,-1.02679,0.718617,-0.789852,1.12733,-0.798398,0.765207,-1.17597,0.782434,
4578.2,0.735428,1.0971,-0.794691,-0.712309,-1.02914,0.718617,-0.788976,1.12956,-0.798398,0.764358,-1.17815,0.782434,
4578.21,0.7346,1.09941,-0.794691,-0.711506,-1.03151,0.718617,-0.788087,1.13183,-0.798398,0.763497,-1.18036,0.782434,
4578.21,0.733794,1.10165,-0.794691,-0.710726,-1.03383,0.718617,-0.787223,1.13403,-0.798398,0.76266,-1.18251,0.782434,
4578.22,0.732988,1.10388,-0.794691,-0.709945,-1.03614,0.718617,-0.786358,1.13624,-0.798398,0.761822,-1.18466,0.782434,
4578.22,0.732162,1.10618,-0.794691,-0.709145,-1.03851,0.718617,-0.785472,1.13849,-0.798398,0.760964,-1.18686,0.782434,
4578.22,0.731351,1.10843,-0.794691,-0.708359,-1.04084,0.718617,-0.784602,1.14071,-0.798398,0.76012,-1.18903,0.782434,
4578.23,0.730521,1.11074,-0.794691,-0.707556,-1.04322,0.718617,-0.783711,1.14298,-0.798398,0.759258,-1.19124,0.782434,
4578.23,0.729719,1.11296,-0.794691,-0.706779,-1.04552,0.718617,-0.782851,1.14517,-0.798398,0.758425,-1.19338,0.782434,
4578.24,0.728907,1.11522,-0.794691,-0.705992,-1.04785,0.718617,-0.78198,1.14739,-0.798398,0.75758,-1.19555,0.782434,
4578.24,0.7281,1.11746,-0.794691,-0.70521,-1.05017,0.718617,-0.781114,1.1496,-0.798398,0.756741,-1.1977,0.782434,
4578.24,0.727284,1.11973,-0.794691,-0.70442,-1.05251,0.718617,-0.780239,1.15183,-0.798398,0.755894,-1.19987,0.782434,
4578.25,0.726465,1.122,-0.794691,-0.703627,-1.05486,0.718617,-0.77936,1.15407,-0.798398,0.755042,-1.20206,0.782434,
4578.25,0.725646,1.12428,-0.794691,-0.702834,-1.05721,0.718617,-0.778481,1.15631,-0.798398,0.754191,-1.20424,0.782434,
4578.26,0.724834,1.12653,-0.794691,-0.702047,-1.05954,0.718617,-0.77761,1.15853,-0.798398,0.753347,-1.20641,0.782434,
4578.26,0.72402,1.12879,-0.794691,-0.701259,-1.06188,0.718617,-0.776737,1.16075,-0.798398,0.752501,-1.20858,0.782434,
4578.26,0.723199,1.13108,-0.794691,-0.700464,-1.06424,0.718617,-0.775856,1.16299,-0.798398,0.751648,-1.21077,0.782434,
4578.27,0.722386,1.13333,-0.794691,-0.699676,-1.06657,0.718617,-0.774984,1.16522,-0.798398,0.750803,-1.21294,0.782434,
4578.27,0.721577,1.13558,-0.794691,-0.698893,-1.06889,0.718617,-0.774116,1.16743,-0.798398,0.749962,-1.2151,0.782434,
4578.28,0.720766,1.13784,-0.794691,-0.698107,-1.07122,0.718617,-0.773246,1.16965,-0.798398,0.749119,-1.21726,0.782434,
4578.28,0.719957,1.14008,-0.794691,-0.697324,-1.07354,0.718617,-0.772378,1.17186,-0.798398,0.748279,-1.21942,0.782434,
4578.28,0.719144,1.14234,-0.794691,-0.696536,-1.07588,0.718617,-0.771506,1.17408,-0.798398,0.747433,-1.22159,0.782434,
4578.29,0.718322,1.14462,-0.794691,-0.69574,-1.07824,0.718617,-0.770624,1.17633,-0.798398,0.746579,-1.22378,0.782434,
4578.29,0.717506,1.14689,-0.794691,-0.694949,-1.08058,0.718617,-0.769748,1.17856,-0.798398,0.745731,-1.22596,0.782434,
4578.3,0.716693,1.14915,-0.794691,-0.694162,-1.08291,0.718617,-0.768877,1.18078,-0.798398,0.744886,-1.22813,0.782434,
4578.3,0.715887,1.15139,-0.794691,-0.693381,-1.08523,0.718617,-0.768011,1.18298,-0.798398,0.744048,-1.23028,0.782434,
4578.3,0.715064,1.15367,-0.794691,-0.692585,-1.08758,0.718617,-0.767129,1.18523,-0.798398,0.743193,-1.23247,0.782434,
4578.31,0.714254,1.15592,-0.794691,-0.6918,-1.08991,0.718617,-0.76626,1.18745,-0.798398,0.742351,-1.23463,0.782434,
4578.31,0.71343,1.15821,-0.794691,-0.691001,-1.09228,0.718617,-0.765375,1.1897,-0.798398,0.741494,-1.23683,0.782434,
4578.32,0.712622,1.16046,-0.794691,-0.690219,-1.0946,0.718617,-0.764509,1.19191,-0.798398,0.740654,-1.23899,0.782434,
4578.32,0.711806,1.16272,-0.794691,-0.689429,-1.09694,0.718617,-0.763634,1.19414,-0.798398,0.739807,-1.24116,0.782434,
4578.32,0.710999,1.16497,-0.794691,-0.688647,-1.09925,0.718617,-0.762768,1.19635,-0.798398,0.738968,-1.24332,0.782434,
4578.33,0.710178,1.16725,-0.794691,-0.687852,-1.10161,0.718617,-0.761887,1.19859,-0.798398,0.738115,-1.24551,0.782434,
4578.33,0.709364,1.16951,-0.794691,-0.687063,-1.10395,0.718617,-0.761014,1.20082,-0.798398,0.737268,-1.24768,0.782434,
4578.34,0.70855,1.17177,-0.794691,-0.686275,-1.10628,0.718617,-0.76014,1.20304,-0.798398,0.736422,-1.24985,0.782434,
4578.34,0.707735,1.17403,-0.794691,-0.685486,-1.10862,0.718617,-0.759266,1.20527,-0.798398,0.735575,-1.25203,0.782434,
4578.34,0.706919,1.1763,-0.794691,-0.684696,-1.11096,0.718617,-0.758391,1.2075,-0.798398,0.734728,-1.2542,0.782434,
4578.35,0.706114,1.17853,-0.794691,-0.683916,-1.11327,0.718617,-0.757528,1.2097,-0.798398,0.733891,-1.25635,0.782434,
4578.35,0.705288,1.18083,-0.794691,-0.683116,-1.11564,0.718617,-0.756642,1.21196,-0.798398,0.733033,-1.25855,0.782434,
4578.36,0.704478,1.18308,-0.794691,-0.682331,-1.11797,0.718617,-0.755772,1.21417,-0.798398,0.73219,-1.26071,0.782434,
4578.36,0.703662,1.18535,-0.794691,-0.68154,-1.12031,0.718617,-0.754896,1.2164,-0.798398,0.731342,-1.26289,0.782434,
4578.36,0.702847,1.18761,-0.794691,-0.680751,-1.12265,0.718617,-0.754022,1.21863,-0.798398,0.730495,-1.26506,0.782434,
4578.37,0.702035,1.18987,-0.794691,-0.679965,-1.12498,0.718617,-0.753151,1.22085,-0.798398,0.729651,-1.26723,0.782434,
4578.37,0.701223,1.19212,-0.794691,-0.679179,-1.12731,0.718617,-0.752281,1.22307,-0.798398,0.728808,-1.26939,0.782434,
4578.38,0.700398,1.19441,-0.794691,-0.67838,-1.12968,0.718617,-0.751396,1.22532,-0.798398,0.72795,-1.2716,0.782434,
4578.38,0.699599,1.19663,-0.794691,-0.677606,-1.13197,0.718617,-0.750538,1.22751,-0.798398,0.72712,-1.27373,0.782434,
4578.38,0.698775,1.19892,-0.794691,-0.676807,-1.13434,0.718617,-0.749654,1.22976,-0.798398,0.726263,-1.27593,0.782434,
4578.39,0.697964,1.20118,-0.794691,-0.676022,-1.13667,0.718617,-0.748783,1.23198,-0.798398,0.72542,-1.27809,0.782434,
